Longitude,Latitude,Sample No,Cu,Zn,Pb
73.10910833,24.70838611,45H02/149/S/16,17,39,15
73.12886389,24.70838611,45H02/150/S/16,44,78,24
73.14856389,24.70838611,45H02/151/S/16,19,79,34
73.16831944,24.70838611,45H02/152/S/16,18,77,23
73.18791667,24.70838611,45H02/153/S/16,22,91,27
73.20766667,24.70838611,45H02/154/S/16,16,84,33
73.22747222,24.70838611,45H02/155/S/16,12,83,28
73.24716667,24.70838611,45H02/156/S/16,21,83,40
73.01038611,24.72651111,45H02/157/S/16,33,46,6
73.03008889,24.72651111,45H02/158/S/16,29,64,12
73.05010556,24.72651111,45H02/159/S/16,89,68,15
73.06996667,24.72651111,45H02/160/S/16,28,70,14
73.08961667,24.72651111,45H02/161/S/16,27,48,17
73.10910833,24.72651111,45H02/162/S/16,29,51,15
73.12886389,24.72651111,45H02/163/S/16,23,60,23
73.14856389,24.72651111,45H02/164/S/16,31,54,20
73.16831944,24.72651111,45H02/165/S/16,23,45,17
73.18791667,24.72651111,45H02/166/S/16,23,59,24
73.20766667,24.72651111,45H02/167/S/16,20,61,32
73.22747222,24.72651111,45H02/168/S/16,38,70,24
73.24716667,24.72651111,45H02/169/S/16,30,59,24
73.01038611,24.74455,45H02/170/S/16,39,61,21
73.03008889,24.74455,45H02/171/S/16,43,71,14
73.05010556,24.74455,45H02/172/S/16,406,235,58
73.06996667,24.74455,45H02/173/S/16,45,63,15
73.08961667,24.74455,45H02/174/S/16,312,154,24
73.10910833,24.74455,45H02/175/S/16,40,57,18
73.12886389,24.74455,45H02/176/S/16,31,69,14
73.14856389,24.74455,45H02/177/S/16,15,48,18
73.16831944,24.74455,45H02/178/S/16,32,62,17
73.18791667,24.74455,45H02/179/S/16,31,63,20
73.20766667,24.74455,45H02/180/S/16,31,60,27
73.22747222,24.74455,45H02/181/S/16,29,61,26
73.24716667,24.74455,45H02/182/S/16,22,73,25
73.01,24.26,45H3/001/S/14,28.0,79.0,26.0
73.03,24.26,45H3/002/S/14,21.0,62.0,22.0
73.04,24.26,45H3/003/S/14,21.0,66.0,24.0
73.07,24.26,45H3/004/S/14,19.0,75.0,25.0
73.09,24.26,45H3/005/S/14,20.0,96.0,26.0
73.11,24.26,45H3/006/S/14,20.0,87.0,29.0
73.13,24.26,45H3/007/S/14,30.0,76.0,26.0
73.15,24.26,45H3/008/S/14,25.0,78.0,23.0
73.17,24.26,45H3/009/S/14,24.0,74.0,24.0
73.19,24.26,45H3/010/S/14,35.0,83.0,21.0
73.21,24.26,45H3/011/S/14,26.0,72.0,26.0
73.23,24.26,45H3/012/S/14,28.0,78.0,21.0
73.25,24.26,45H3/013/S/14,32.0,85.0,28.0
73.01,24.28,45H3/014/S/14,29.0,76.0,21.0
73.03,24.28,45H3/015/S/14,24.0,62.0,25.0
73.05,24.28,45H3/016/S/14,25.0,80.0,28.0
73.07,24.28,45H3/017/S/14,19.0,65.0,26.0
73.09,24.28,45H3/018/S/14,22.0,79.0,27.0
73.11,24.28,45H3/019/S/14,21.0,79.0,26.0
73.13,24.28,45H3/020/S/14,25.0,83.0,17.0
73.15,24.28,45H3/021/S/14,34.0,83.0,26.0
73.17,24.28,45H3/022/S/14,24.0,67.0,22.0
73.18,24.28,45H3/023/S/14,34.0,75.0,26.0
73.21,24.28,45H3/024/S/14,32.0,69.0,26.0
73.23,24.28,45H3/025/S/14,25.0,70.0,20.0
73.25,24.28,45H3/026/S/14,32.0,76.0,25.0
73.01,24.30,45H3/027/S/14,25.0,80.0,25.0
73.03,24.30,45H3/028/S/14,24.0,79.0,31.0
73.05,24.30,45H3/029/S/14,26.0,68.0,28.0
73.07,24.30,45H3/030/S/14,23.0,78.0,28.0
73.09,24.30,45H3/031/S/14,21.0,104.0,20.0
73.11,24.30,45H3/032/S/14,22.0,64.0,29.0
73.13,24.30,45H3/033/S/14,19.0,78.0,23.0
73.15,24.30,45H3/034/S/14,35.0,80.0,26.0
73.17,24.30,45H3/035/S/14,41.0,84.0,27.0
73.19,24.30,45H3/036/S/14,29.0,81.0,28.0
73.21,24.30,45H3/037/S/14,25.0,72.0,24.0
73.23,24.30,45H3/038/S/14,32.0,74.0,34.0
73.25,24.30,45H3/039/S/14,24.0,66.0,25.0
73.01,24.31,45H3/040/S/14,25.0,65.0,26.0
73.03,24.31,45H3/041/S/14,28.0,64.0,22.0
73.05,24.31,45H3/042/S/14,28.0,84.0,33.0
73.07,24.31,45H3/043/S/14,22.0,66.0,24.0
73.09,24.31,45H3/044/S/14,28.0,66.0,24.0
73.11,24.31,45H3/045/S/14,27.0,64.0,27.0
73.13,24.31,45H3/046/S/14,26.0,63.0,23.0
73.15,24.31,45H3/047/S/14,20.0,71.0,20.0
73.17,24.31,45H3/048/S/14,28.0,82.0,24.0
73.19,24.31,45H3/049/S/14,30.0,76.0,24.0
73.21,24.31,45H3/050/S/14,27.0,69.0,28.0
73.23,24.31,45H3/051/S/14,33.0,79.0,26.0
73.25,24.31,45H3/052/S/14,23.0,73.0,28.0
73.01,24.33,45H3/053/S/14,25.0,56.0,23.0
73.03,24.33,45H3/054/S/14,28.0,61.0,21.0
73.05,24.33,45H3/055/S/14,21.0,77.0,24.0
73.07,24.33,45H3/056/S/14,23.0,73.0,30.0
73.09,24.33,45H3/057/S/14,24.0,66.0,31.0
73.11,24.33,45H3/058/S/14,27.0,71.0,29.0
73.13,24.33,45H3/059/S/14,23.0,64.0,26.0
73.15,24.33,45H3/060/S/14,29.0,64.0,27.0
73.17,24.33,45H3/061/S/14,26.4,80.0,22.0
73.19,24.33,45H3/062/S/14,22.0,73.0,29.0
73.21,24.33,45H3/063/S/14,37.0,78.0,24.0
73.23,24.33,45H3/064/S/14,27.0,70.0,24.0
73.25,24.33,45H3/065/S/14,28.0,76.0,28.0
73.01,24.35,45H3/066/S/14,26.0,82.0,30.0
73.03,24.35,45H3/067/S/14,19.0,51.0,26.0
73.05,24.35,45H3/068/S/14,28.0,89.0,23.0
73.07,24.35,45H3/069/S/14,25.0,70.0,26.0
73.09,24.35,45H3/070/S/14,23.0,76.0,28.0
73.11,24.35,45H3/071/S/14,27.0,61.0,26.0
73.13,24.35,45H3/072/S/14,25.0,71.0,22.0
73.15,24.35,45H3/073/S/14,22.0,68.0,27.0
73.17,24.35,45H3/074/S/14,28.0,75.0,28.0
73.19,24.35,45H3/075/S/14,26.0,70.0,27.0
73.21,24.35,45H3/076/S/14,22.0,59.0,21.0
73.23,24.35,45H3/077/S/14,23.0,71.0,29.0
73.25,24.35,45H3/078/S/14,22.0,74.0,27.0
73.01,24.37,45H3/079/S/14,30.0,74.0,25.0
73.03,24.37,45H3/080/S/14,25.0,62.0,27.0
73.05,24.37,45H3/081/S/14,29.0,75.0,20.0
73.07,24.37,45H3/082/S/14,22.0,93.0,30.0
73.09,24.37,45H3/083/S/14,32.0,76.0,23.0
73.11,24.37,45H3/084/S/14,30.0,82.0,22.0
73.13,24.37,45H3/085/S/14,27.0,79.0,25.0
73.15,24.37,45H3/086/S/14,25.0,72.0,25.0
73.17,24.37,45H3/087/S/14,20.0,65.0,23.0
73.19,24.37,45H3/088/S/14,28.0,84.0,20.0
73.21,24.37,45H3/089/S/14,24.0,68.0,34.0
73.23,24.37,45H3/090/S/14,24.0,73.0,23.0
73.25,24.37,45H3/091/S/14,24.0,73.0,20.0
73.01,24.39,45H3/092/S/14,24.0,58.0,21.0
73.03,24.39,45H3/093/S/14,23.0,73.0,23.0
73.05,24.39, 45H3/094/S/14,22.0,69.0,25.0
73.07,24.39,45H3/095/S/14,25.0,82.0,23.0
73.09,24.39,45H3/096/S/14,20.0,71.0,32.0
73.11,24.39,45H3/097/S/14,19.0,70.0,31.0
73.13,24.39,45H3/098/S/14,26.0,84.0,28.0
73.15,24.39,45H3/099/S/14,24.0,65.0,22.0
73.17,24.39,45H3/100/S/14,22.0,76.0,24.0
73.19,24.39,45H3/101/S/14,26.0,87.0,30.0
73.21,24.39,45H3/102/S/14,25.0,86.0,25.0
73.23,24.39,45H3/103/S/14,24.0,79.0,28.0
73.25,24.39,45H3/104/S/14,26.0,80.0,24.0
73.01,24.40,45H3/105/S/14,36.0,78.0,26.0
73.03,24.40,45H3/106/S/14,30.0,72.0,19.0
73.05,24.40,45H3/107/S/14,36.0,79.0,22.0
73.07,24.40,45H3/108/S/14,19.0,78.0,21.0
73.09,24.40,45H3/109/S/14,34.0,81.0,32.0
73.11,24.40,45H3/110/S/14,31.0,84.0,30.0
73.13,24.40,45H3/111/S/14,29.0,78.0,26.0
73.15,24.40,45H3/112/S/14,24.0,61.0,22.0
73.17,24.40,45H3/113/S/14,28.0,74.0,24.0
73.19,24.40,45H3/114/S/14,34.0,89.0,25.0
73.21,24.40,45H3/115/S/14,30.0,68.0,27.0
73.23,24.40,45H3/116/S/14,24.0,64.0,27.0
73.25,24.40,45H3/117/S/14,24.0,58.0,23.0
73.01,24.42,45H3/118/S/14,27.0,97.0,14.0
73.03,24.42,45H3/119/S/14,21.0,86.0,18.0
73.05,24.42,45H3/120/S/14,25.0,75.0,18.0
73.07,24.42,45H3/121/S/14,19.0,74.0,24.0
73.09,24.42,45H3/122/S/14,20.0,77.0,31.0
73.11,24.42,45H3/123/S/14,25.0,77.0,49.0
73.13,24.42,45H3/124/S/14,28.0,88.0,25.0
73.15,24.42,45H3/125/S/14,23.0,77.0,22.0
73.17,24.42,45H3/126/S/14,22.0,77.0,27.0
73.19,24.42,45H3/127/S/14,30.0,78.0,24.0
73.21,24.42,45H3/128/S/14,26.0,73.0,27.0
73.23,24.42,45H3/129/S/14,27.0,75.0,22.0
73.25,24.42,45H3/130/S/14,30.0,69.0,26.0
73.01,24.44,45H3/131/S/14,34.0,68.0,24.0
73.03,24.44,45H3/132/S/14,28.0,81.0,13.0
73.05,24.44,45H3/133/S/14,23.0,76.0,15.0
73.07,24.44,45H3/134/S/14,35.0,83.0,30.0
73.09,24.44,45H3/135/S/14,24.0,67.0,28.0
73.11,24.44,45H3/136/S/14,20.0,64.0,27.0
73.13,24.44,45H3/137/S/14,19.0,59.0,24.0
73.15,24.44,45H3/138/S/14,23.0,69.0,26.0
73.17,24.44,45H3/139/S/14,22.0,63.0,31.0
73.19,24.44,45H3/140/S/14,23.0,75.0,25.0
73.21,24.44,45H3/141/S/14,21.0,74.0,27.0
73.23,24.44,45H3/142/S/14,38.0,89.0,25.0
73.25,24.44,45H3/143/S/14,27.0,84.0,24.0
73.01,24.46,45H3/144/S/15,30.0,62.0,27.0
73.03,24.46,45H3/145/S/14,25.0,92.0,28.0
73.05,24.46,45H3/146/S/14,21.0,72.0,20.0
73.07,24.46,45H3/147/S/14,31.0,75.0,26.0
73.09,24.46,45H3/148/S/14,32.0,74.0,18.0
