DATAFLOW,LAST UPDATE,freq,duration,isced11,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2019,79.5,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2009,76.5,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2010,76.6,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2011,75.3,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2012,79.6,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2013,79.5,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2014,76.5,b
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2015,76.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2016,74.6,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2017,72.3,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2018,77.8,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2019,83.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FI,2020,80.5,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2009,77.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2010,76.3,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2011,75.6,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2012,76.5,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2013,74.4,b
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2014,74.2,b
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2015,73.1,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2016,73.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2017,73.7,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2018,79.4,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2019,74.3,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,FR,2020,76.6,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2009,75.3,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2010,72.1,b
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2011,66.3,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2012,59.7,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2013,53.7,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2014,62.6,b
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2015,63.2,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2016,72.8,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2017,63.2,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2018,66.5,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2019,75.9,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,HR,2020,74.7,
